link_text,link_url,parent_url,HTTP status code
Learn More,/en/aboutus/legal/privacy-policy.html#cookies,https://www.maximintegrated.com,200
 ,/en.html,https://www.maximintegrated.com,200
日本語,/jp.html,https://www.maximintegrated.com,200
中文,/cn.html,https://www.maximintegrated.com,200
日本語,/jp.html,https://www.maximintegrated.com,200
中文,/cn.html,https://www.maximintegrated.com,200
Products,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Power,/en/products/power.html,https://www.maximintegrated.com,200
MOSFET Drivers and Controllers,/en/products/power/mosfet-drivers-controllers.html,https://www.maximintegrated.com,200
Switching Regulators,/en/products/power/switching-regulators.html,https://www.maximintegrated.com,200
Battery Management,/en/products/power/battery-management.html,https://www.maximintegrated.com,200
Isolated Power Supplies,/en/products/power/isolated-power.html,https://www.maximintegrated.com,200
Charge Pumps,/en/products/power/charge-pumps.html,https://www.maximintegrated.com,200
Linear Regulators,/en/products/power/linear-regulators.html,https://www.maximintegrated.com,200
LED Drivers,/en/products/power/led-drivers.html,https://www.maximintegrated.com,200
Motor Driver ICs,/en/products/power/motor-driver-ics.html,https://www.maximintegrated.com,200
Power Protection and Control,/en/products/power/protection-control.html,https://www.maximintegrated.com,200
Display Control and Power,/en/products/power/display-power-control.html,https://www.maximintegrated.com,200
"Voltage Supervisors, Voltage Monitors, and Sequencers",/en/products/power/supervisors-voltage-monitors-sequencers.html,https://www.maximintegrated.com,200
Power Management ICs (PMICs),/en/products/power/power-management-ics.html,https://www.maximintegrated.com,200
Power Over Ethernet,/en/products/power/power-over-ethernet.html,https://www.maximintegrated.com,200
Himalaya Power Modules,/en/products/power/power-modules.html,https://www.maximintegrated.com,200
Sensors,/en/products/sensors.html,https://www.maximintegrated.com,200
Temperature Sensor ICs,/en/products/sensors/temperature-sensor-ics.html,https://www.maximintegrated.com,200
Healthcare Sensor ICs,/en/products/sensors/healthcare-sensor-ics.html,https://www.maximintegrated.com,200
Analog,/en/products/analog.html,https://www.maximintegrated.com,200
Amplifiers,/en/products/analog/amplifiers.html,https://www.maximintegrated.com,200
Audio,/en/products/analog/audio.html,https://www.maximintegrated.com,200
Video,/en/products/analog/video-products.html,https://www.maximintegrated.com,200
Data Converters,/en/products/analog/data-converters.html,https://www.maximintegrated.com,200
Switches and Multiplexers,/en/products/analog/analog-switches-multiplexers.html,https://www.maximintegrated.com,200
Filters,/en/products/analog/analog-filters.html,https://www.maximintegrated.com,200
Voltage References,/en/products/analog/voltage-references.html,https://www.maximintegrated.com,200
Real-Time Clock,/en/products/analog/real-time-clocks.html,https://www.maximintegrated.com,200
Clock Generation and Distribution,/en/products/analog/clock-generation-distribution.html,https://www.maximintegrated.com,200
Interface,/en/products/interface.html,https://www.maximintegrated.com,200
Transceivers,/en/products/interface/transceivers.html,https://www.maximintegrated.com,200
IO-Link and Binary Drivers,/en/products/interface/io-link-transceivers.html,https://www.maximintegrated.com,200
Controllers/Expanders,/en/products/interface/controllers-expanders.html,https://www.maximintegrated.com,200
Level Translators,/en/products/interface/level-translators.html,https://www.maximintegrated.com,200
Industrial Digital I/O Interface ICs,/en/products/interface/industrial-digital-io.html,https://www.maximintegrated.com,200
Isolation ICs,/en/products/interface/isolation.html,https://www.maximintegrated.com,200
High-Speed Signaling,/en/products/interface/high-speed-signaling.html,https://www.maximintegrated.com,200
Universal Serial Bus (USB) Products,/en/products/interface/universal-serial-bus.html,https://www.maximintegrated.com,200
Signal Line Protection ICs,/en/products/interface/signal-line-protection-ics.html,https://www.maximintegrated.com,200
Signal Integrity,/en/products/interface/signal-integrity.html,https://www.maximintegrated.com,200
4-20mA Current Loop Products,/en/products/interface/current-loop-products-4-20ma.html,https://www.maximintegrated.com,200
Broadband Switches,/en/products/interface/broadband-switches.html,https://www.maximintegrated.com,200
Sensor Interface,/en/products/interface/sensor-interface.html,https://www.maximintegrated.com,200
Communications,/en/products/comms.html,https://www.maximintegrated.com,200
Wireless and RF,/en/products/comms/wireless-rf.html,https://www.maximintegrated.com,200
Optical,/en/products/comms/optical-communications.html,https://www.maximintegrated.com,200
Powerline Communications (PLC) ,/en/products/comms/powerline-communications.html,https://www.maximintegrated.com,200
Embedded Security,/en/products/embedded-security.html,https://www.maximintegrated.com,200
Security Managers,/en/products/embedded-security/security-managers.html,https://www.maximintegrated.com,200
Secure Authentication,/en/products/embedded-security/secure-authenticators.html,https://www.maximintegrated.com,200
Secure Microcontrollers,/en/products/embedded-security/secure-microcontrollers.html,https://www.maximintegrated.com,200
NFC/RFID,/en/products/embedded-security/nfc-rfid-products.html,https://www.maximintegrated.com,200
Microcontrollers,/en/products/microcontrollers.html,https://www.maximintegrated.com,200
Ultra-Low-Power Microcontrollers ,/en/products/microcontrollers/low-power-microcontrollers.html,https://www.maximintegrated.com,200
Secure Microcontrollers,/en/products/microcontrollers/secure-microcontrollers.html,https://www.maximintegrated.com,200
#MakeWithMaxim,/en/products/microcontrollers/make-with-maxim.html,https://www.maximintegrated.com,200
iButton and 1-Wire,/en/products/ibutton-one-wire.html,https://www.maximintegrated.com,200
iButton,/en/products/ibutton-one-wire/ibutton.html,https://www.maximintegrated.com,200
1-Wire,/en/products/ibutton-one-wire/one-wire.html,https://www.maximintegrated.com,200
Data Loggers,/en/products/ibutton-one-wire/data-loggers.html,https://www.maximintegrated.com,200
Memory Products,/en/products/ibutton-one-wire/memory-products.html,https://www.maximintegrated.com,200
All,/en/products/all-products.html,https://www.maximintegrated.com,200
What's New,/en/products/whats-new.html,https://www.maximintegrated.com,200
Applications,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Industrial,/en/markets/industrial.html,https://www.maximintegrated.com,200
Factory Automation,/en/markets/industrial/factory-automation.html,https://www.maximintegrated.com,200
Sensors and Field Instruments,/en/markets/industrial/sensors-field-instruments.html,https://www.maximintegrated.com,200
Building Automation,/en/markets/industrial/building-automation.html,https://www.maximintegrated.com,200
Motor Control,/en/markets/industrial/motor-control.html,https://www.maximintegrated.com,200
Automated Test Equipment,/en/markets/industrial/automated-test-equipment.html,https://www.maximintegrated.com,200
Industrial IoT,/en/markets/industrial/industrial-iot.html,https://www.maximintegrated.com,200
Automotive,/en/markets/automotive.html,https://www.maximintegrated.com,200
Power Management,/en/markets/automotive/power-management.html,https://www.maximintegrated.com,200
ADAS,/en/markets/automotive/adas.html,https://www.maximintegrated.com,200
Infotainment,/en/markets/automotive/infotainment.html,https://www.maximintegrated.com,200
Body Electronics,/en/markets/automotive/body-electronics.html,https://www.maximintegrated.com,200
EV Powertrain,/en/markets/automotive/ev-powertrain.html,https://www.maximintegrated.com,200
Automotive IoT,/en/markets/automotive/automotive-iot.html,https://www.maximintegrated.com,200
Automotive LED Lighting,/en/markets/automotive/lighting.html,https://www.maximintegrated.com,200
Healthcare,/en/markets/healthcare.html,https://www.maximintegrated.com,200
Wearable Health,/en/markets/healthcare/wearable.html,https://www.maximintegrated.com,200
Ultrasound Imaging,/en/markets/healthcare/imaging.html,https://www.maximintegrated.com,200
Diagnostic and Therapy,/en/markets/healthcare/diagnostic-therapy.html,https://www.maximintegrated.com,200
Healthcare IoT,/en/markets/healthcare/healthcare-iot.html,https://www.maximintegrated.com,200
Communications,/en/markets/communications.html,https://www.maximintegrated.com,200
Cable,/en/markets/communications/cable.html,https://www.maximintegrated.com,200
Optical,/en/markets/communications/optical.html,https://www.maximintegrated.com,200
Wireless,/en/markets/communications/wireless.html,https://www.maximintegrated.com,200
Consumer,/en/markets/consumer.html,https://www.maximintegrated.com,200
Mobile,/en/markets/consumer/mobile.html,https://www.maximintegrated.com,200
Wearables,/en/markets/consumer/wearables.html,https://www.maximintegrated.com,200
Hearables,/en/markets/consumer/hearables.html,https://www.maximintegrated.com,200
Consumer IoT,/en/markets/consumer/consumer-iot.html,https://www.maximintegrated.com,200
Computing,/en/markets/computing.html,https://www.maximintegrated.com,200
Data Center,/en/markets/computing/data-center.html,https://www.maximintegrated.com,200
Servers,/en/markets/computing/servers.html,https://www.maximintegrated.com,200
Secure Computing,/en/markets/computing/secure-computing.html,https://www.maximintegrated.com,200
Solar Energy,/en/markets/solar-energy.html,https://www.maximintegrated.com,200
Solar Cell Optimizer Technology,/en/markets/solar-energy/solar-cell-optimizers.html,https://www.maximintegrated.com,200
Military and Aerospace,/en/markets/military-aerospace.html,https://www.maximintegrated.com,200
Internet of Things,/en/markets/internet-of-things.html,https://www.maximintegrated.com,200
IoT Platform,/en/markets/internet-of-things/iot-platform.html,https://www.maximintegrated.com,200
Essential Analog ICs,/en/markets/essential-analog-ics.html,https://www.maximintegrated.com,200
Rugged Connectivity,/en/markets/essential-analog-ics/rugged-connectivity.html,https://www.maximintegrated.com,200
Reliable Protection,/en/markets/essential-analog-ics/reliable-protection.html,https://www.maximintegrated.com,200
Precision Measurement,/en/markets/essential-analog-ics/precision-measurement.html,https://www.maximintegrated.com,200
Efficient Power,/en/markets/essential-analog-ics/efficient-power.html,https://www.maximintegrated.com,200
All Markets,/en/markets/all-markets.html,https://www.maximintegrated.com,200
Design,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Overview,/en/design/overview.html,https://www.maximintegrated.com,200
Technical Documents,/en/design/technical-documents.html,https://www.maximintegrated.com,200
Reference Designs,/en/design/reference-design-center.html,https://www.maximintegrated.com,200
Design Tools,/en/design/design-tools.html,https://www.maximintegrated.com,200
Packaging,/en/design/packaging.html,https://www.maximintegrated.com,200
Cross-Reference Search,/en/design/cross-reference-search.html,https://www.maximintegrated.com,200
Technical Training,/en/design/technical-training.html,https://www.maximintegrated.com,200
Partners and Technology,/en/design/partners-and-technology.html,https://www.maximintegrated.com,200
Videos,/en/design/videos.html,https://www.maximintegrated.com,200
mgineer Blog,/en/design/blog.html,https://www.maximintegrated.com,200
Customer Testimonials,/en/design/customer-testimonials.html,https://www.maximintegrated.com,200
Glossary of EE Terms ,/en/design/glossary.html,https://www.maximintegrated.com,200
Support,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Support Portal,/en/support/overview.html,https://www.maximintegrated.com,200
Quality and Reliability,/en/support/qa-reliability.html,https://www.maximintegrated.com,200
Environmental,/en/support/emmi.html,https://www.maximintegrated.com,200
Knowledge Base Search,/en/support/knowledge-base-search.html,https://www.maximintegrated.com,200
Order,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Search Price and Availability,/en/storefront/search_result.html,https://www.maximintegrated.com,200
"Buy Parts, Request Quote and Sample",/en/storefront/storefront.html,https://www.maximintegrated.com,200
My Orders ,/en/storefront/my-orders.html,https://www.maximintegrated.com,200
My Quotes,/en/storefront/my-quotes.html,https://www.maximintegrated.com,200
About Us,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Maxim Profile,/en/aboutus/maxim-profile.html,https://www.maximintegrated.com,200
Investor Relations,/en/aboutus/investor-relations.html,https://www.maximintegrated.com,200
Careers,/en/aboutus/careers.html,https://www.maximintegrated.com,200
Newsroom,/en/aboutus/newsroom.html,https://www.maximintegrated.com,200
Events,/en/aboutus/events.html,https://www.maximintegrated.com,200
Worldwide Locations,/en/aboutus/worldwide-locations.html,https://www.maximintegrated.com,200
Leadership,/en/aboutus/leadership.html,https://www.maximintegrated.com,200
Maxim Ventures,/en/aboutus/maxim-ventures.html,https://www.maximintegrated.com,200
Corporate Policies,/en/aboutus/maxim-corporate-policies.html,https://www.maximintegrated.com,200
Corporate Responsibility,/en/aboutus/corporate-responsibility.html,https://www.maximintegrated.com,200
Contact Us,/en/aboutus/contact-us.html,https://www.maximintegrated.com,200
Legal,/en/aboutus/legal.html,https://www.maximintegrated.com,200
Backoffice Management,#,https://www.maximintegrated.com,200
 < Back to Main Menu ,#,https://www.maximintegrated.com,200
Manage Exception Rules,/en/backoffice-activities/exception-rule-search.html,https://www.maximintegrated.com,200
Public Domain White List,/en/backoffice-activities/email-white-list.html,https://www.maximintegrated.com,200
Public Domain Denial,/en/backoffice-activities/email-black-list.html,https://www.maximintegrated.com,200
Sample Denial Emails,/en/backoffice-activities/sample-denial-email-list.html,https://www.maximintegrated.com,200
Revenue Denial Emails,/en/backoffice-activities/revenue-denial-email-list.html,https://www.maximintegrated.com,200
Sample Order Denial Addresses,/en/backoffice-activities/sample-denial-address-list.html,https://www.maximintegrated.com,200
ISA Contacts,/en/backoffice-activities/isa-contacts.html,https://www.maximintegrated.com,200
Sales Office Admin,/en/backoffice-activities/sales-office-admin.html,https://www.maximintegrated.com,200
ISA Inbox (Review Exception),/en/backoffice-activities/isa-inbox.html,https://www.maximintegrated.com,200
 ,#,https://www.maximintegrated.com,200
 ,#,https://www.maximintegrated.com,200
Login,#,https://www.maximintegrated.com,200
Register,#,https://www.maximintegrated.com,200
My Maxim,#myMaxDialog,https://www.maximintegrated.com,200
Logout,javascript:logout();,https://www.maximintegrated.com,200
 ,/en/aboutus/maxim-profile/covid-19-response.html,https://www.maximintegrated.com,200
 ,/en/aboutus/maxim-profile/covid-19-response.html,https://www.maximintegrated.com,200
 ,/en/aboutus/maxim-profile/covid-19-response.html,https://www.maximintegrated.com,200
 ,/en/aboutus/maxim-profile/covid-19-response.html,https://www.maximintegrated.com,200
 ,/en/aboutus/maxim-profile/covid-19-response.html,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAXM17537,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAXM17537,https://www.maximintegrated.com,200
MAXM17537,https://www.maximintegrated.com/en/products/MAXM17537,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX25601A,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX25601A,https://www.maximintegrated.com,200
MAX25601A,https://www.maximintegrated.com/en/products/MAX25601A,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAXREFDES103,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAXREFDES103,https://www.maximintegrated.com,200
MAXREFDES103,https://www.maximintegrated.com/en/products/MAXREFDES103,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/DS28C39,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/DS28C39,https://www.maximintegrated.com,200
DS28C39,https://www.maximintegrated.com/en/products/DS28C39,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX22520,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX22520,https://www.maximintegrated.com,200
MAX22520,https://www.maximintegrated.com/en/products/MAX22520,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX77504,https://www.maximintegrated.com,200
 ,https://www.maximintegrated.com/en/products/MAX77504,https://www.maximintegrated.com,200
MAX77504,https://www.maximintegrated.com/en/products/MAX77504,https://www.maximintegrated.com,200
See all new products ›,/en/products/whats-new.html,https://www.maximintegrated.com,200
 ,https://maximsupport.microsoftcrmportals.com/en-US/tech-support/,https://www.maximintegrated.com,200
 ,/en/design/design-tools/keypad.html,https://www.maximintegrated.com,200
 ,/en/design/design-tools/ee-sim.html,https://www.maximintegrated.com,200
 ,https://maximsupport.microsoftcrmportals.com/en-US/knowledgebase/,https://www.maximintegrated.com,200
 ,/en/markets/automotive/adas.html,https://www.maximintegrated.com,200
 ,/en/markets/automotive/adas.html,https://www.maximintegrated.com,200
learn more,/en/markets/automotive/adas.html,https://www.maximintegrated.com,200
 ,/en/markets/industrial/factory-automation.html,https://www.maximintegrated.com,200
 ,/en/markets/industrial/factory-automation.html,https://www.maximintegrated.com,200
learn more,/en/markets/industrial/factory-automation.html,https://www.maximintegrated.com,200
 ,/en/markets/healthcare/wearable.html,https://www.maximintegrated.com,200
 ,/en/markets/healthcare/wearable.html,https://www.maximintegrated.com,200
learn more,/en/markets/healthcare/wearable.html,https://www.maximintegrated.com,200
 ,/en/markets/essential-analog-ics.html,https://www.maximintegrated.com,200
 ,/en/markets/essential-analog-ics.html,https://www.maximintegrated.com,200
learn more,/en/markets/essential-analog-ics.html,https://www.maximintegrated.com,200
 ,/en/design/technical-documents/index.html,https://www.maximintegrated.com,200
 ,/en/design/reference-design-center.html,https://www.maximintegrated.com,200
 ,/en/design/technical-documents/index.html/tutorials/products/all-products,https://www.maximintegrated.com,200
 ,/en/design/technical-documents/design-solutions.html,https://www.maximintegrated.com,200
 ,/en/design/technical-documents/white-papers.html,https://www.maximintegrated.com,200
 ,/en/design/videos.html,https://www.maximintegrated.com,200
 ,https://twitter.com/maximintegrated,https://www.maximintegrated.com,200
 ,https://www.linkedin.com/company/maxim-integrated,https://www.maximintegrated.com,200
 ,https://www.facebook.com/MaximIntegrated,https://www.maximintegrated.com,200
 ,https://www.youtube.com/c/maximintegrated,https://www.maximintegrated.com,200
 ,/en/aboutus/newsroom.html,https://www.maximintegrated.com,200
 ,/en/aboutus/events.html,https://www.maximintegrated.com,200
 ,/en/design/blog.html,https://www.maximintegrated.com,200
About Us,/en/aboutus/maxim-profile.html,https://www.maximintegrated.com,200
Customer Testimonials,/en/design/customer-testimonials.html,https://www.maximintegrated.com,200
Careers,/en/aboutus/careers.html,https://www.maximintegrated.com,200
Contact Us,/en/aboutus/contact-us.html,https://www.maximintegrated.com,200
Customer Support,https://maximsupport.microsoftcrmportals.com/en-US/cust-support/,https://www.maximintegrated.com,200
Technical Support,https://maximsupport.microsoftcrmportals.com/en-US/tech-support/,https://www.maximintegrated.com,200
Ordering FAQ,/en/support/faqs/ordering-faq.html,https://www.maximintegrated.com,200
Worldwide Franchised Distributors,/en/aboutus/contact-us/distributor-offices.html,https://www.maximintegrated.com,200
Investor Relations,http://investor.maximintegrated.com/home/default.aspx,https://www.maximintegrated.com,200
Corporate Responsibility,http://investor.maximintegrated.com/corporate-responsibility/default.aspx,https://www.maximintegrated.com,200
 Contact Us ,/en/aboutus/contact-us.html,https://www.maximintegrated.com,200
 Careers ,/en/aboutus/careers.html,https://www.maximintegrated.com,200
 Legal ,/en/aboutus/legal.html,https://www.maximintegrated.com,200
 Privacy ,/en/aboutus/legal/privacy-policy.html,https://www.maximintegrated.com,200
 Cookie Policy ,/en/aboutus/legal/privacy-policy/cookie-policy.html,https://www.maximintegrated.com,200
 Site Map ,/en/site-map.html,https://www.maximintegrated.com,200
MY MAXIM,#tabmymax,https://www.maximintegrated.com,200
MY BULLETIN,#tabmybulletin,https://www.maximintegrated.com,200
 ,/en/mymaxim/seeallpage.html,https://www.maximintegrated.com,200
Contact us,https://maximsupport.microsoftcrmportals.com/en-US/support-center/,https://www.maximintegrated.com,200
request a quote,#,https://www.maximintegrated.com,200
here,/storefront/storefront.html,https://www.maximintegrated.com,200
Resubmit,/mymaxim/register.html,https://www.maximintegrated.com,200
distributor,/sales/offices/distributor/franchise.mvp,https://www.maximintegrated.com,200
click here,/storefront/storefront.html,https://www.maximintegrated.com,200
